file_path;pattern_sequence
classiq-library/functions/qmod_library_reference/classiq_open_library/variational_data_encoding/variational_data_encoding.py;Data Encoding
classiq-library/functions/qmod_library_reference/classiq_open_library/qsvt/qsvt.py;Basis Change -> Domain Specific Application
classiq-library/functions/qmod_library_reference/qmod_core_library/prepare_state_and_amplitudes/prepare_state_and_amplitudes.py;Initialization
classiq-library/functions/qmod_library_reference/qmod_core_library/hamiltonian_evolution/suzuki_trotter/suzuki_trotter.py;Hamiltonian Simulation
classiq-library/functions/qmod_library_reference/qmod_core_library/hamiltonian_evolution/qdrift/qdrift.py;Hamiltonian Simulation
classiq-library/functions/function_usage_examples/mcx/mcx_example.py;Quantum Logical Operators
classiq-library/functions/function_usage_examples/arithmetic/modular_exp/modular_exp_example.py;Quantum Arithmetic -> Basis Change
classiq-library/functions/function_usage_examples/arithmetic/negation/negation_example.py;Basis Change
classiq-library/functions/function_usage_examples/arithmetic/extremum/extremum_example.py;Basis Change
classiq-library/functions/function_usage_examples/arithmetic/multiplication/multiplication.py;Basis Change
classiq-library/functions/function_usage_examples/arithmetic/comparator/comparator_example.py;Basis Change -> Quantum Arithmetic
Pulser/tutorials/quantum_simulation/Spin chain of 3 atoms in XY mode.py;Variational Quantum Algorithm (VQA)
quimb/docs/examples/ex_MERA.py;Dynamic Circuit
quimb/docs/examples/ex_tn_train_circuit.py;Quantum Approximate Optimization Algorithm (QAOA)
quimb/docs/tensor/tensor-circuit.py;Dynamic Circuit
quimb/docs/tensor/tensor-1d.py;Dynamic Circuit
quimb/docs/tensor/tensor-basics.py;Dynamic Circuit
